reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
29;Калужская область;М-3;Обход г. Калуга от М-3 «Украина»;Федеральная дорога общего пользования;29701000;ЦФО, Калужская область, Калуга;Наезд на стоящее ТС;20181217;7:50:00;Другие нарушения ПДД водителями;1;0;2;3;54.633524;36.295309
46;Московская область;М-11;Скоростная автомобильная дорога Москва – Санкт-Петербург (основное направление);Федеральная дорога общего пользования;46783000;ЦФО, Московская область, Химки;Наезд на препятствие;20181217;7:45:00;Превышение установленной скорости движения;1;0;1;12;55.935573;37.450547
36;Самарская область;;Самара - Оренбург - Лопатино;Региональная или межмуниципальная дорога общего пользования;36614421101;ПФО, Самарская область, Волжский район, Лопатинская, с Лопатино;Наезд на пешехода;20181217;7:40:00;Иные нарушения ПДД пешеходом, Несоблюдение бокового интервала;1;0;1;2;53.080582;50.229996
19;Вологодская область;;Урень- Шарья- Никольск- Котлас;Региональная или межмуниципальная дорога общего пользования;19614000;СЗФО, Вологодская область, Великоустюгский район;Столкновение;20181217;7:35:00;Нарушение правил обгона;4;0;2;5;60.687196;46.212101
75;Челябинская область;А-310;Челябинск - Троицк - граница с Республикой Казахстан;Федеральная дорога общего пользования;75655000;УФО, Челябинская область, Увельский район;Столкновение;20181217;7:30:00;Нарушение правил расположения ТС на проезжей части;1;0;3;3;54.578877;61.29148
46;Московская область;А-107;"""Московское малое кольцо"" Икша - Ногинск - Бронницы - Голицыно - Истра - Икша";Федеральная дорога общего пользования;46790000;ЦФО, Московская область, Электросталь;Столкновение;20181217;7:20:00;Неправильный выбор дистанции;2;0;2;3;55.807733;38.427279
89;Республика Мордовия;Р-178;Саранск - Сурское - Ульяновск;Федеральная дорога общего пользования;89657000;ПФО, Республика Мордовия, Чамзинский район;Наезд на стоящее ТС;20181217;7:15:00;Нарушение правил остановки и стоянки, Другие нарушения ПДД водителями;2;0;3;3;54.38032;45.734357
41;Ленинградская область;А-181;Подъезд № 2 к КПП «Брусничное» (от 152 км автодороги М-10 «Скандинавия»);Федеральная дорога общего пользования;41615000;СЗФО, Ленинградская область, Выборгский район;Наезд на препятствие;20181217;7:15:00;Нарушение правил расположения ТС на проезжей части;1;0;1;2;60.927555;28.578401
57;Пермский край;;Чернушка-Тюш;Региональная или межмуниципальная дорога общего пользования;57657000;ПФО, Пермский край, Чернушинский район;Столкновение;20181217;7:10:00;Несоответствие скорости конкретным условиям движения, Выезд на полосу встречного движения;0;1;2;2;56.518535;56.182365
83;Кабардино-Балкарская Республика;;"""а/д """"Нальчик-Нарткала""""""";Региональная или межмуниципальная дорога общего пользования;83640000;СКФО, Кабардино-Балкарская Республика, Урванский район;Столкновение;20181217;7:10:00;Выезд на полосу встречного движения в местах, где это запрещено;1;1;2;3;43.553649;43.831179
45;Москва;;Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона;Региональная или межмуниципальная дорога общего пользования;45910000;ЦФО, Москва, Юго-Западный АО, Ясенево;Столкновение;20181217;6:55:00;Неправильный выбор дистанции;1;0;2;2;55.588799;37.541013
57;Пермский край;;Кунгур-Соликамск;Региональная или межмуниципальная дорога общего пользования;57606000;ПФО, Пермский край, Березовский район;Столкновение;20181217;6:55:00;Выезд на полосу встречного движения;1;0;2;2;57.56631;57.262459
22;Нижегородская область;22К-0064;Выездное - Дивеево - Сатис;Региональная или межмуниципальная дорога общего пользования;22632000;ПФО, Нижегородская область, Дивеевский район;Столкновение;20181217;6:20:00;Несоответствие скорости конкретным условиям движения, Выезд на полосу встречного движения;4;0;2;5;54.967933;43.282013
75;Челябинская область;;КУНДРАВЫ-ВАРЛАМОВО;Региональная или межмуниципальная дорога общего пользования;75657425;УФО, Челябинская область, Чебаркульский район, Кундравинский;Съезд с дороги;20181217;6:05:00;Другие нарушения ПДД водителями;1;0;1;12;54.765778;60.393101
97;Чувашская Республика — Чувашия;А-151;Цивильск - Ульяновск;Федеральная дорога общего пользования;97621000;ПФО, Чувашская Республика - Чувашия, Комсомольский район;Столкновение;20181217;5:57:00;Выезд на полосу встречного движения в местах, где это запрещено;1;0;4;4;55.328412;47.561617
75;Челябинская область;;ЧЕБАРКУЛЬ-АРХАНГЕЛЬСКОЕ;Региональная или межмуниципальная дорога общего пользования;75657490;УФО, Челябинская область, Чебаркульский район, Шахматовский;Столкновение;20181217;5:05:00;Несоблюдение бокового интервала;1;0;2;2;54.978623;60.493319
53;Оренбургская область;53К-0904000;Гай - Новочеркасское;Региональная или межмуниципальная дорога общего пользования;;ПФО, Оренбургская область, Гайский район;Наезд на пешехода;20181217;4:30:00;Иные нарушения ПДД пешеходом;1;0;1;2;51.503026;58.457952
